year,mean_price,min_price,max_price,std_price,trading_days
2021,1798.8169348659003,1681.24,1949.35,48.88407890682623,261
2022,1801.9247692307692,1621.57,2052.41,92.31561007990659,260
2023,1942.7497683397683,1810.81,2077.16,60.28272025370499,259
2024,2387.9814230769234,1992.13,2786.19,223.70189368556456,260
2025,3449.318223938224,2635.33,4532.63,488.57376997351776,259
